DSP_project,Soil,Site_Field_ID,PedonID,trt,Label_full,Label,Internal,Internal label,internal Plot,DSP_Pedon,Pedon_Num,DSP_Plot_ID,DSP_Pedon_ID,layer_no,hzdesg,hrzdep_t,hrzdep_b,LayerID,DSP_sample_ID,Sand%,Silt%,Clay%,Texture,Bulk_Density,alt_BD,Water_Content,SOC_pct,TN_pct,KSSL_WSA,ARS_AggStab_MWD,ARS_AggStab_TotalWS,ARS_WS_2-8,ARS_WS_.5-2,ARS_WS_250-250,ARS_WS_53-250,EC,pH,Soil_Respiration,Bglucosidase,Bglucosaminidase,Alkaline Phosphatase,Acid Phosphatase,Phosphodiesterase,Arylsulfatase,POX_C,ACE,WEOC (mg/kg),WEON (mg/kg), KSSL_LabSampleNo,PLFA_ID
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-102-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 102,X,X,S2018KS153102,2,KeCF3,KeCF3 - 2,4,Bt1,21,36,KeCF3 - 102-4,KeCF3 - 2-4,,,,,1.199981955,1.199981955,0.182033097,0.67,,3.666666667,0.391226315,,,,,,,,0.829297746,14.88197802,18.46215057,140.1006918,106.6448883,122.8167869,.,129.7804167,1112.942342,,,196945,KS-153-SW-102-4-21_36-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-102-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 102,X,X,S2018KS153102,2,KeCF3,KeCF3 - 2,5,Bt2,36,52,KeCF3 - 102-5,KeCF3 - 2-5,,,,,1.353542374,1.353542374,0.180522565,0.56,,18.83333333,0.666713585,,,,,,,,1.102202474,19.78434638,13.79510044,134.0015371,69.79800665,90.6124456,.,79.55862375,909.6279222,,,196946,KS-153-SW-102-5-36_52-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-102-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 102,X,X,S2018KS153102,2,KeCF3,KeCF3 - 2,6,Btk1,52,75,KeCF3 - 102-6,KeCF3 - 2-6,,,,,1.244338646,1.244338646,0.183098592,0.57,,5.833333333,0.357842296,,,,,,,,0.946945907,13.1861962,6.593615031,60.74595826,49.79993386,35.92323533,.,69.26770179,746.8992991,,,196947,KS-153-SW-102-6-52_75-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-102-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 102,X,X,S2018KS153102,2,KeCF3,KeCF3 - 2,7,Btk2,75,100,KeCF3 - 102-7,KeCF3 - 2-7,,,,,1.237749962,1.237749962,0.132118451,0.78,,4,0.366805418,,,,,,,,0.863636757,9.518221808,6.412173484,37.99063276,38.97908736,38.52728942,.,54.41209103,612.7242275,,,196948,KS-153-SW-102-7-75_100-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-103-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 103,X,X,S2018KS153103,3,KeCF3,KeCF3 - 3,1,Ap1,0,5,KeCF3 - 103-1,KeCF3 - 3-1,,,,,1.114623921,1.114623921,0.2,1.63,,8,0.418407478,,,,,,,,0.960487463,128.7078761,71.27198985,46.88768364,356.2771414,35.98428385,.,463.4168682,5259.397507,,,196949,KS-153-SW-103-1-0_5-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-103-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 103,X,X,S2018KS153103,3,KeCF3,KeCF3 - 3,2,Ap1,5,10,KeCF3 - 103-2,KeCF3 - 3-2,,,,,1.454009804,1.454009804,0.2,1.01,,2.666666667,0.290493306,,,,,,,,0.793370925,32.15250195,24.34761276,29.21837165,157.5894802,14.40662426,.,254.9408974,3229.097281,,,196950,KS-153-SW-103-2-5_10-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-103-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 103,X,X,S2018KS153103,3,KeCF3,KeCF3 - 3,3,Ap2,10,21,KeCF3 - 103-3,KeCF3 - 3-3,,,,,0.788611771,0.788611771,0.126126126,0.8,,2.833333333,0.301783943,,,,,,,,0.857923462,19.62347878,24.38382891,84.45427769,109.8422912,42.43565538,.,127.1010896,1467.811982,,,196951,KS-153-SW-103-3-10_21-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-103-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 103,X,X,S2018KS153103,3,KeCF3,KeCF3 - 3,4,Bt1,21,37,KeCF3 - 103-4,KeCF3 - 3-4,,,,,1.274615425,1.274615425,0.186761229,0.59,,19.33333333,0.466552693,,,,,,,,0.955544532,18.7356544,19.8454073,141.0852786,80.7396573,92.10845268,.,103.7889725,1126.234542,,,196952,KS-153-SW-103-4-21_37-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-103-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 103,X,X,S2018KS153103,3,KeCF3,KeCF3 - 3,5,Bt2,37,50,KeCF3 - 103-5,KeCF3 - 3-5,,,,,1.268902496,1.268902496,0.169767442,0.54,,14.83333333,0.581816648,,,,,,,,0.947136223,15.63314413,10.48429377,133.3242375,49.82913173,82.30734974,.,94.21517525,1096.242164,,,196953,KS-153-SW-103-5-37_50-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-103-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 103,X,X,S2018KS153103,3,KeCF3,KeCF3 - 3,6,Btk1,50,83,KeCF3 - 103-6,KeCF3 - 3-6,,,,,1.281685964,1.281685964,0.194774347,0.72,,6.333333333,0.376424955,,,,,,,,0.915478187,7.189494895,6.242991537,74.19698038,42.35456771,56.14438802,.,62.68097397,847.6921326,,,196954,KS-153-SW-103-6-50_83-20118
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-103-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 103,X,X,S2018KS153103,3,KeCF3,KeCF3 - 3,7,Btk2,83,100,KeCF3 - 103-7,KeCF3 - 3-7,,,,,NA,NA,0.13258427,0.61,,4.333333333,0.277990621,,,,,,,,0.926355004,5.876711338,4.612546601,65.99247157,24.53035292,34.87008755,.,47.38218418,568.7883796,,,196955,KS-153-SW-103-7-83_100-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-104-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 104,X,X,S2018KS153104,1,KeC3,KeC3 - 1,1,Ap1,0,5,KeC3 - 104-1,KeC3 - 1-1,,,,,1.3557896,1.3557896,0.2,3.79,,4.833333333,0.307503796,,,,,,,,1.471433049,157.6381994,92.93264955,483.968254,1087.450651,26.38337845,.,828.1734547,6518.869454,,,196956,KS-153-SW-104-1-0_5-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-104-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 104,X,X,S2018KS153104,1,KeC3,KeC3 - 1,2,Ap1,5,10,KeC3 - 104-2,KeC3 - 1-2,,,,,1.3557896,1.3557896,0.21,3.73,,3.833333333,0.305644865,,,,,,,,0.909115008,86.58806373,41.49892835,61.68391701,222.0269757,30.81331612,.,254.00174,2072.477653,,,196957,KS-153-SW-104-2-5_10-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-104-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 104,X,X,S2018KS153104,1,KeC3,KeC3 - 1,3,Ap2,10,23,KeC3 - 104-3,KeC3 - 1-3,,,,,1.319496695,1.319496695,0.27735369,0.96,,15.33333333,0.598306127,,,,,,,,0.872604737,32.84279485,29.794258,147.3500882,103.9973897,67.37462855,.,185.1148128,1398.252466,,,196958,KS-153-SW-104-3-10_23-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-104-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 104,X,X,S2018KS153104,1,KeC3,KeC3 - 1,4,Bt,23,39,KeC3 - 104-4,KeC3 - 1-4,,,,,1.267764127,1.267764127,0.182464455,0.72,,8.166666667,0.494713451,,,,,,,,1.052500315,14.15172677,12.19653278,85.85430753,51.10644258,93.22666896,.,135.4659818,916.9411692,,,196959,KS-153-SW-104-4-23_39-2018
